id,ot,alias,setcode,type,atk,def,level,race,attribute,category
483,1,0,460,65538,0,0,0,0,0,262144
2511,11,0,382,33,0,0,1,8,32,263184
10000,3,0,0,33554465,-2,-2,10,8192,32,270336
27551,3,0,0,131076,0,0,0,0,0,262144
32864,3,0,0,17,1200,900,3,16,32,0
35699,11,0,238,33554465,2800,1200,8,8,16,262151
39015,11,0,0,33,1600,800,4,32768,1,262144
41546,11,0,7209135,16777249,1800,2600,101056520,8,32,2147745808
41777,3,0,71,4,0,0,0,0,0,263168
43227,11,0,0,97,2800,2000,8,8,16,268436739
44818,3,0,345,33,400,2100,4,4,16,262656
50755,3,0,0,4,0,0,0,0,0,262656
56889,3,0,0,4,0,0,0,0,0,8196
59080,9,0,19530064,2,0,0,0,0,0,262148
62121,3,0,0,2097185,920,1930,4,8,32,8192
96540,11,0,0,2,0,0,0,0,0,262144
98905,11,0,229,4,0,0,0,0,0,1074003968
102380,11,0,0,33554465,3000,2500,8,8,4,4456448
109401,11,0,0,8225,1200,2400,5,1,32,4456448
111280,3,0,0,65538,0,0,0,0,0,33562624
114932,3,0,0,33,1400,300,3,256,1,4194304
122520,3,0,159,33,800,800,3,2,16,2147745794
123709,3,0,57,33,2100,200,6,1,4,1032
126218,3,0,0,4,0,0,0,0,0,134225920
128454,3,0,159,33,1100,2400,5,512,8,16
131182,3,0,0,33,300,500,2,2,16,65538
132308,11,0,321,33,0,0,4,1024,2,2147745792
135598,3,0,0,4129,100,100,1,16384,1,1049088
146746,11,0,0,67108897,1500,34,2,32,1,262144
164710,3,0,0,4,0,0,0,0,0,0
168917,3,0,48,33,1800,800,4,4,16,262144
176392,3,0,29,33,1800,1800,4,256,1,17563648
176393,3,0,29,16401,1800,1800,4,256,1,0
191749,3,0,0,2,0,0,0,0,0,393216
197042,11,0,370,4,0,0,0,0,0,1073741828
209710,3,0,0,33,1000,1400,4,16777216,32,256
213326,11,0,0,2,0,0,0,0,0,512
218704,3,0,0,33554465,1400,1200,4,16384,2,262144
220414,3,0,159,33,1200,1200,4,1,16,67174404
242146,3,0,0,262146,0,0,0,0,0,8192
255998,3,0,102,33,1200,200,4,1,8,131072
259314,3,0,86,4,0,0,0,0,0,16785408
263926,3,0,0,33,100,100,1,4,1,262146
269012,11,0,0,524290,0,0,0,0,0,20972032
269510,3,0,0,524290,0,0,0,0,0,2147491840
276357,11,0,0,131076,0,0,0,0,0,65543
282886,3,0,7667828,33,1500,1500,4,131072,2,262144
284224,3,0,335,97,2000,3000,7,1,16,16777234
286392,11,0,102,8225,2100,1200,5,1,4,262160
291414,11,0,0,4129,0,0,1,8192,16,262144
293542,11,0,39,33,1200,0,3,32768,32,262656
295517,3,22702055,0,524290,0,0,0,0,0,2105344
296499,3,0,0,131076,0,0,0,0,0,65536
298846,11,0,251,67108897,200,2,1,4,16,0
303660,3,0,0,262146,0,0,0,0,0,0
313513,3,0,0,2,0,0,0,0,0,262656
324483,11,0,0,97,2800,1600,8,1,4,8195
327051,11,0,336,2,0,0,0,0,0,262148
336369,3,0,16,4129,0,1800,2,4096,8,262656
336601,1,0,0,33,100,2000,4,2,16,263184
340002,3,0,159,33,2600,1800,6,16384,1,16
342673,11,0,4258,33,2500,2100,7,2,32,262144
359563,11,0,10,8388641,950,1950,4,8,32,2048
365213,11,0,0,131074,0,0,0,0,0,262400
368382,11,0,216,16777249,2000,800,101056517,32,2,2147745792
373085,3,0,0,33,800,200,3,128,4,8
387282,11,0,84,33,200,800,2,2,32,512
402416,11,0,431,65538,0,0,0,0,0,24577
402568,11,0,14,33,1200,100,4,4096,16,131072
403847,3,0,0,131074,0,0,0,0,0,1056768
410904,11,0,192,33,2000,200,5,8192,8,262160
423585,11,0,0,33,800,1600,4,2,32,264704
423705,3,0,0,33,1800,1600,4,1,1,1
423706,3,423705,0,33,1800,1600,4,1,1,1
425934,11,0,172,33,1000,1800,4,8,1,0
440556,11,0,0,8388641,2600,2100,4,262144,2,262144
458748,11,0,0,65538,0,0,0,0,0,268697600
464362,11,0,173,97,1900,1200,6,8,32,8195
473469,3,0,0,4,0,0,0,0,0,1
487395,11,0,0,4113,400,1200,1,64,2,0
494922,11,0,154,8225,2400,3800,10,32,1,0
525110,3,0,91,4129,700,400,2,1024,32,262144
545781,11,0,0,4129,0,2500,5,8192,16,0
549481,3,0,0,17,500,2000,4,16384,1,0
564541,3,0,0,33,400,200,2,8192,1,262144
572850,11,0,385,33,1800,1300,4,64,32,268697640
575512,11,0,193,524290,0,0,0,0,0,537141248
581014,11,0,16,8388641,1800,800,4,256,8,263424
595626,1,0,164,33,300,200,1,8,32,263704
596051,3,0,0,4,0,0,0,0,0,8192
598988,11,0,35,33554465,4000,0,10,8192,32,327680
601193,11,0,177,8225,2500,1000,6,2,16,272
612115,11,0,4121,33,1200,800,3,64,2,262660
613013,1,0,440,33,1800,1100,4,131072,2,2147745793
637216,3,0,0,33,1500,1200,4,32,1,8
645087,11,0,5308563,33,1400,300,4,16777216,16,786432
645088,11,0,81,16401,0,0,2,16777216,16,0
645794,11,0,208,16777249,1300,500,84213764,2,8,16777728
652362,3,0,12,4129,500,200,1,524288,16,263168
653675,11,0,23,2,0,0,0,0,0,537133056
674561,11,0,0,2,0,0,0,0,0,2098176
675319,11,0,0,524290,0,0,0,0,0,1122304
691925,11,0,0,2,0,0,0,0,0,392
698785,3,0,0,8388641,3000,2000,8,8192,16,2
703897,11,0,283,1048580,0,0,0,0,0,2147485204
706925,11,0,119,33,1400,0,3,262144,2,1310723
712559,3,0,4,524290,0,0,0,0,0,270336
720147,11,0,308,4,0,0,0,0,0,1073741824
732302,11,0,0,17,900,1300,4,16,32,0
734741,11,0,177,4129,100,2100,3,8,32,262144
739444,11,0,0,67108897,1000,42,3,8192,32,256
744887,11,0,308,33,2200,2700,9,256,16,4
756652,1,0,0,17,900,500,2,1,1,0
759393,11,0,191,2097185,500,1500,3,2,4,4096
759394,11,759393,191,2097185,500,1500,3,2,4,4096
770365,3,0,110,8388641,2000,1700,5,2,16,8194
